un;a
abandonner;abandon
capacité;ability
capable;able
avortement;abortion
environ;about
au-dessus;above
à l'étranger;abroad
absence;absence
absolu;absolute
absolument;absolutely
absorber;absorb
abus;abuse
académique;academic
accepter;accept
accs;access
accident;accident
accompagner;accompany
accomplir;accomplish
selon;according
compte;account
précis;accurate
Frais;accuse
accomplir;achieve
exploit;achievement
acide;acid
reconnaître;acknowledge
acquérir;acquire
à travers;across
acte;act
action;action
actif;active
activiste;activist
activité;activity
acteur;actor
actrice;actress
courant;actual
en fait;actually
annonce;ad
adapter;adapt
ajouter;add
addition;addition
additionnel;additional
adresse;address
adéquat;adequate
ajuster;adjust
ajustement;adjustment
administration;administration
administrateur;administrator
admirer;admire
admission;admission
admettre;admit
adolescent;adolescent
adopter;adopt
adulte;adult
avance;advance
avancé;advanced
avantage;advantage
aventure;adventure
publicités;advertising
conseil;advice
conseiller;advise
conseiller;adviser
avocat;advocate
affaire;affair
affecter;affect
permettre;afford
effrayé;afraid
Africain;African
Afro-américain;African-American
aprs;after
Aprs-midi;afternoon
encore;again
contre;against
âge;age
agence;agency
ordre du jour;agenda
agent;agent
agressif;aggressive
il y a;ago
accepter;agree
accord;agreement
agricole;agricultural
ah;ah
devant;ahead
aide;aid
aide;aide
SIDA;AIDS
viser;aim
air;air
aéronef;aircraft
compagnie aérienne;airline
aéroport;airport
album;album
alcool;alcohol
vivant;alive
tout;all
alliance;alliance
permettre;allow
allié;ally
presque;almost
seul;alone
le long de;along
déjà;already
aussi;also
âge;alter
alternatif;alternative
quoique;although
toujours;always
Sur le;AM
stupéfiant;amazing
Américain;American
parmi;among
quantité;amount
analyse;analysis
analyste;analyst
analyser;analyze
ancien;ancient
et;and
colre;anger
angle;angle
fâché;angry
animal;animal
anniversaire;anniversary
annoncer;announce
annuel;annual
autre;another
répondre;answer
anticiper;anticipate
anxiété;anxiety
quelconque;any
n'importe qui;anybody
Plus;anymore
n'importe qui;anyone
rien;anything
de toute faon;anyway
quelque part;anywhere
à part;apart
appartement;apartment
apparent;apparent
apparemment;apparently
appel;appeal
Apparaître;appear
apparence;appearance
pomme;apple
application;application
appliquer;apply
nommer;appoint
rendez-vous;appointment
apprécier;appreciate
approcher;approach
approprié;appropriate
approbation;approval
approuver;approve
environ;approximately
Arabe;Arab
architecte;architect
aire;area
se disputer;argue
argument;argument
se lever;arise
bras;arm
armé;armed
armée;army
autour;around
arranger;arrange
arrangement;arrangement
arrestation;arrest
arrivée;arrival
arrive;arrive
art;art
article;article
artiste;artist
artistique;artistic
comme;as
Asiatique;Asian
aparté;aside
demander;ask
endormi;asleep
aspect;aspect
assaut;assault
affirmer;assert
évaluer;assess
évaluation;assessment
atout;asset
assigner;assign
mission;assignment
aider;assist
assistance;assistance
assistant;assistant
associer;associate
association;association
supposer;assume
supposition;assumption
assure;assure
à;at
athlte;athlete
athlétique;athletic
atmosphre;atmosphere
joindre;attach
attaquer;attack
essayer;attempt
fréquenter;attend
attention;attention
attitude;attitude
avocat;attorney
attirer;attract
attractif;attractive
attribut;attribute
audience;audience
auteur;author
autorité;authority
voiture;auto
disponible;available
moyenne;average
éviter;avoid
prix;award
conscient;aware
conscience;awareness
loin;away
terrible;awful
bébé;baby
Précédent;back
arrire-plan;background
mauvais;bad
mal;badly
sac;bag
cuire;bake
balance;balance
ballon;ball
interdiction;ban
bande;band
banque;bank
bar;bar
à peine;barely
barrique;barrel
barrire;barrier
base;base
base-ball;baseball
basique;basic
fondamentalement;basically
base;basis
panier;basket
basket-ball;basketball
salle de Bains;bathroom
pile;battery
bataille;battle
tre;be
plage;beach
haricot;bean
ours;bear
battre;beat
belle;beautiful
beauté;beauty
parce que;because
devenir;become
lit;bed
chambre;bedroom
bire;beer
avant;before
commencer;begin
commencement;beginning
comportement;behavior
derrire;behind
tre;being
croyance;belief
croire;believe
cloche;bell
appartenir;belong
sous;below
ceinture;belt
banc;bench
courber;bend
sous;beneath
avantage;benefit
à côté de;beside
en outre;besides
meilleur;best
mais;bet
mieux;better
entre;between
au-delà;beyond
Bible;Bible
grand;big
vélo;bike
facture;bill
milliard;billion
lier;bind
biologique;biological
oiseau;bird
naissance;birth
anniversaire;birthday
mors;bit
mordre;bite
noir;black
lame;blade
blâme;blame
couverture;blanket
aveugle;blind
bloquer;block
sang;blood
souffler;blow
bleu;blue
planche;board
bateau;boat
corps;body
bombe;bomb
bombardement;bombing
obligation;bond
os;bone
livre;book
boom;boom
botte;boot
frontire;border
né;born
emprunter;borrow
patron;boss
les deux;both
déranger;bother
bouteille;bottle
fond;bottom
limite;boundary
bol;bowl
boîte;box
garon;boy
petit ami;boyfriend
cerveau;brain
branche;branch
marque;brand
pain;bread
casser;break
petit déjeuner;breakfast
sein;breast
haleine;breath
respirer;breathe
brique;brick
pont;bridge
bref;brief
brivement;briefly
brillant;bright
brillant;brilliant
apporter;bring
Britannique;British
large;broad
cassé;broken
Frre;brother
Marron;brown
brosse;brush
bouquin;buck
budget;budget
construire;build
bâtiment;building
balle;bullet
botte;bunch
fardeau;burden
bréler;burn
enterrer;bury
bus;bus
affaire;business
occupé;busy
mais;but
beurre;butter
bouton;button
acheter;buy
acheteur;buyer
par;by
cabine;cabin
cabinet;cabinet
câble;cable
gâteau;cake
calculer;calculate
appeler;call
